               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.073637,            0.023077,                   0,             0.42865,             0.30169,             0.28257,            0.058647,                0.08,            0.020782,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.073583,             0.02599,                   0,             0.61268,             0.26667,             0.36236,             0.11073,            0.072379,            0.020726,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.08154,            0.022978,                   0,             0.61268,             0.26667,             0.36236,             0.11073,            0.072379,            0.020726,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.081179,            0.027495,                   0,             0.46671,             0.26667,             0.32467,            0.077857,            0.065858,            0.020434,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.069276,            0.028512,                   0,             0.46671,             0.26667,             0.32467,            0.077857,            0.065858,            0.020434,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.080581,            0.025565,                   0,             0.26725,             0.73333,             0.39999,              0.1037,            0.070618,             0.02054,                   0,            0.003664,            0.003664,            0.003664
                  66,              0.0769,            0.021618,                   0,             0.26725,             0.73333,             0.39999,              0.1037,            0.070618,             0.02054,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.065402,            0.026745,                   0,             0.60781,             0.26667,             0.30929,            0.093664,            0.077669,             0.01994,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.080396,            0.018655,                   0,             0.60781,             0.26667,             0.30929,            0.093664,            0.077669,             0.01994,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.088996,            0.031126,                   0,             0.32402,             0.46667,             0.40071,             0.09305,            0.068796,            0.020115,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.070355,            0.023622,                   0,             0.32402,             0.46667,             0.40071,             0.09305,            0.068796,            0.020115,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.079127,            0.022227,                   0,             0.21502,                 0.6,             0.24885,            0.074016,            0.067715,            0.019897,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.081739,            0.024439,                   0,             0.21502,                 0.6,             0.24885,            0.074016,            0.067715,            0.019897,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.08131,            0.023507,                   0,             0.59928,                 0.4,              0.5125,             0.14198,            0.068117,            0.019889,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.065995,             0.01549,                   0,             0.59928,                 0.4,              0.5125,             0.14198,            0.068117,            0.019889,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.071758,            0.023036,                   0,             0.17358,             0.66667,             0.30449,            0.087293,            0.074254,            0.019564,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.060658,            0.026192,                   0,             0.17358,             0.66667,             0.30449,            0.087293,            0.074254,            0.019564,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.089073,            0.022043,                   0,             0.49524,             0.32762,             0.42552,             0.11157,            0.067889,            0.019838,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.062739,            0.028312,                   0,             0.49524,             0.32762,             0.42552,             0.11157,            0.067889,            0.019838,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.074091,            0.029488,                   0,              0.6599,                 0.2,             0.31641,            0.069487,            0.074666,             0.01909,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.079514,            0.023096,                   0,              0.6599,                 0.2,             0.31641,            0.069487,            0.074666,             0.01909,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.077361,            0.026253,                   0,             0.35465,             0.73333,             0.51131,             0.15838,            0.066441,            0.019621,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.065707,             0.01845,                   0,             0.35465,             0.73333,             0.51131,             0.15838,            0.066441,            0.019621,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.065496,            0.024714,                   0,             0.72311,             0.26667,             0.39775,              0.1116,            0.063719,            0.019754,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.07498,            0.024978,                   0,             0.72311,             0.26667,             0.39775,              0.1116,            0.063719,            0.019754,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.068399,            0.021101,                   0,             0.88823,             0.46667,             0.67901,             0.19587,            0.062143,             0.01999,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.074693,            0.024769,                   0,             0.88823,             0.46667,             0.67901,             0.19587,            0.062143,             0.01999,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.063868,            0.020671,                   0,             0.81794,                 0.4,              0.5632,             0.15694,            0.061682,            0.019891,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.066608,            0.023666,                   0,             0.81794,                 0.4,              0.5632,             0.15694,            0.061682,            0.019891,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.069404,            0.031455,                   0,             0.86806,             0.33333,             0.54273,             0.13091,            0.060759,            0.019807,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.063248,             0.03259,                   0,             0.86806,             0.33333,             0.54273,             0.13091,            0.060759,            0.019807,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.07686,            0.020022,                   0,             0.86841,             0.33333,             0.56843,             0.13189,            0.065328,            0.019679,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.067012,            0.025742,                   0,             0.86841,             0.33333,             0.56843,             0.13189,            0.065328,            0.019679,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.06666,            0.020596,                   0,             0.42741,             0.54796,             0.59659,             0.14648,             0.06397,            0.019751,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.076575,            0.022168,                   0,             0.42741,             0.54796,             0.59659,             0.14648,             0.06397,            0.019751,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.063225,            0.027902,                   0,             0.42373,              0.5395,             0.59628,             0.13714,            0.061648,            0.019688,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.060807,            0.028867,                   0,             0.42373,              0.5395,             0.59628,             0.13714,            0.061648,            0.019688,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.069165,            0.032141,                   0,             0.47384,             0.54071,               0.604,             0.14746,            0.060561,            0.019658,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.067605,            0.029208,                   0,             0.47384,             0.54071,               0.604,             0.14746,            0.060561,            0.019658,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.062528,            0.028738,                   0,             0.47674,             0.54727,              0.6037,              0.1519,            0.060194,            0.019626,                   0,            0.000298,            0.000298,            0.000298
